[2014-06-27 09:27:33] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 09:27:46] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 09:28:19] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 09:28:29] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 09:37:20] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 09:38:12] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 09:42:29] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 09:43:38] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 09:47:01] EDIT RegressionReport/views/default/index.html: 1
[2014-06-27 09:48:42] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:19:40] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:20:31] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:20:42] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:21:31] EDIT RegressionReport/views/default/index.html: 1
[2014-06-27 10:21:35] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:30:03] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:31:23] EDIT RegressionReport/views/default/index.html: -3
[2014-06-27 10:32:00] EDIT RegressionReport/views/default/index.html: 2
[2014-06-27 10:32:50] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:33:44] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:34:56] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:36:05] EDIT RegressionReport/views/default/index.html: -1
[2014-06-27 10:36:16] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:36:52] EDIT RegressionReport/views/default/index.html: 0
[2014-06-27 10:42:11] EDIT RegressionReport/views/default/index.html: 1
[2014-06-27 10:44:43] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 10:44:51] EDIT RegressionReport/views/default/index.html: -2
[2014-06-27 10:44:59] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 10:46:23] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 10:46:45] EDIT RegressionReport/views/default/index.html: 1
[2014-06-27 10:47:26] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 10:48:17] EDIT RegressionReport/controllers/default.py: 2
[2014-06-27 10:48:22] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 10:49:01] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 10:49:25] EDIT RegressionReport/controllers/default.py: -1
[2014-06-27 10:49:30] EDIT RegressionReport/views/default/index.html: -1
[2014-06-27 10:50:11] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 10:50:56] EDIT RegressionReport/controllers/default.py: 2
[2014-06-27 10:51:29] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 10:54:41] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 10:55:26] EDIT RegressionReport/controllers/default.py: 4
[2014-06-27 10:55:37] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 10:55:47] EDIT RegressionReport/views/default/index.html: 1
[2014-06-27 11:02:04] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:02:16] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:02:53] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:04:31] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 11:05:03] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:19:59] EDIT RegressionReport/modules/loadxls/load.py: 5
[2014-06-27 11:20:08] EDIT RegressionReport/modules/loadxls/load.py: -1
[2014-06-27 11:40:35] EDIT RegressionReport/modules/loadxls/load.py: 35
[2014-06-27 11:41:08] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:41:55] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:43:04] EDIT RegressionReport/modules/loadxls/load.py: 7
[2014-06-27 11:43:08] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:44:22] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:48:01] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 11:51:39] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:52:11] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 11:52:43] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 13:31:11] EDIT RegressionReport/modules/loadxls/load.py: 10
[2014-06-27 13:41:33] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 13:50:29] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 14:17:14] EDIT RegressionReport/modules/loadxls/load.py: 14
[2014-06-27 14:17:24] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 14:17:34] EDIT RegressionReport/modules/loadxls/load.py: -6
[2014-06-27 14:17:38] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 14:33:10] EDIT RegressionReport/modules/loadxls/load.py: 11
[2014-06-27 14:37:10] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 14:37:16] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 14:53:23] EDIT RegressionReport/modules/loadxls/load.py: -1
[2014-06-27 15:02:31] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 15:28:44] EDIT RegressionReport/modules/loadxls/load.py: -3
[2014-06-27 15:41:09] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 15:41:37] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 15:48:18] EDIT RegressionReport/modules/loadxls/load.py: 5
[2014-06-27 15:48:35] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 15:48:54] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 15:52:22] EDIT RegressionReport/modules/loadxls/load.py: 2
[2014-06-27 15:53:23] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 15:57:49] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 16:02:54] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 16:04:06] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 16:07:36] EDIT RegressionReport/modules/loadxls/load.py: 3
[2014-06-27 16:08:50] EDIT RegressionReport/modules/loadxls/load.py: -1
[2014-06-27 16:12:32] EDIT RegressionReport/modules/loadxls/load.py: -1
[2014-06-27 16:13:19] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 16:34:57] EDIT RegressionReport/modules/loadxls/load.py: 6
[2014-06-27 20:59:35] EDIT RegressionReport/models/db.py: 0
[2014-06-27 21:01:18] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 21:02:53] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 21:04:09] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 21:17:23] EDIT RegressionReport/modules/loadxls/load.py: 2
[2014-06-27 21:19:41] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 21:21:54] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 21:21:55] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 21:23:39] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 21:24:35] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 21:27:52] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 21:28:23] EDIT RegressionReport/modules/loadxls/load.py: -1
[2014-06-27 21:29:51] EDIT RegressionReport/modules/loadxls/load.py: 2
[2014-06-27 21:38:16] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 21:40:16] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-28 20:55:54] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-28 21:09:06] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-28 21:25:11] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-28 21:26:00] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-28 21:26:06] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-28 21:26:09] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-28 21:38:46] EDIT RegressionReport/modules/loadxls/load.py: 34
[2014-06-28 21:59:42] EDIT RegressionReport/modules/loadxls/load.py: -4
